data_set_uuid;data_set_id;investigation_id;study_id;assay_id;node_id;file_uuid;type;subtype;value;value_source;value_accession
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;5;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;5;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;5;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;5;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;9;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;9;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;9;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;9;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;11;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;11;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;11;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;11;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;13;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;13;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;13;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;13;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;15;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;15;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;15;;Source Name;development stage;Embryo;EFO;EFO_0001367
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;15;;Source Name;cell type;Embryonic stem cell (ESC);CL;2322
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;17;;Source Name;organism;Mus musculus;NCBITaxon;10090
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;17;;Source Name;organism part;Embryo;FMA;Embryo
45369e77-f0d6-49bf-b69a-fb50b3047f0c;1;1;2;;17;;Source Name;development stage;Embryo;EFO;EFO_0001367
